,U0,U0,U1,U1,G_{1/2},G_{1/2}
,h,q,h,q,h,q
2130,2.123598117884123,4.343519947914548,2.1809375978263184,4.346724146270654,0.21107199940017907,-0.8136452373334073
3210,2.031672545507752,2.602522577269749,2.0237474630933394,2.703019576845021,-0.0940942897589383,0.11150540243826157
2400,1.9197714618759367,2.4576933686713947,1.855902695010399,2.3090090507398187,-0.02337494403914775,0.5202252791397477
1260,1.9601561201398863,3.352166807302713,2.1570669573394894,3.153185751308546,-0.04442291070725046,-0.8778059808109688
1470,2.023584292487272,4.7898987144094445,1.9980154642695624,4.872868224376616,0.8609473126336846,-1.2412905612341731
3900,1.9998459250717868,3.4895717067952106,1.9652169869575606,3.4287813798319684,-0.013373850582052427,0.37446801370391114
3060,1.9003134781591773,2.601738409099628,1.896811482419462,2.6905723108464374,-0.07481029412905071,0.020000281365820882
3810,1.8867198608064084,1.8908510758719945,1.889444045665285,1.9727606725021989,0.015566381895453674,-0.2782147426792818
150,1.8220644507871602,2.606206162900602,1.8531075221650177,3.082745778095944,0.20494083362164028,-1.6769255158914262
3750,2.0211016963479493,3.3361968112502023,1.9849375552528146,3.2009133450458265,0.11490069231876276,0.36907105814703556
4050,2.1290175705701997,4.228172443690742,2.121283555737702,4.300670418534257,-0.06957673467923087,0.0348023750181099
570,1.8127472220613932,3.3454779208021783,1.7683711196753682,3.4457073429174474,-0.15618207003882656,0.263242240918796
3630,2.100562086587827,4.05344020911642,2.0816950866892348,4.062531080201096,-0.03342978437453592,0.28292395687645566
2610,2.1152125374053568,4.847872282225055,2.0502109883700017,4.657983389215728,0.10070539607471662,1.5814503621409557
150,2.086653996766764,4.034914160383088,2.093357703465951,3.8437542681942176,0.42153948572061317,0.20219727315112124
4140,2.0145696296368794,2.898199845591616,2.0412790711409103,2.933980063295968,-0.06189252926273214,-0.11784877835999552
2910,1.9949341677048922,2.3385599625140303,2.018658616379882,2.455308662672008,-0.13302638575761971,-0.040178965507003284
4080,2.022446161014777,1.669090130517875,2.0481617894758553,1.6640394957281501,-0.029125165630810912,-0.0925278605072215
1950,2.0584883696237504,2.597961856883725,2.0573742350350073,2.737067338484837,-0.11744030826898877,0.00919492452396753
2640,2.013900859520671,3.259581138345803,2.0057788075918417,3.427509731119753,-0.1522904784321235,-0.06516259544918057
30,1.6176691497734788,3.172793230910965,1.4796756644671516,2.5396856407225537,0.622871673239854,0.016527625038975202
